Country,Women_Rate (%),Men_Rate (%),W_M_Ratio
Brazil,60.9,71.0,0.86
Canada,49.2,64.0,0.77
Chile,71.8,79.6,0.90
China,49.2,61.7,0.80
Colombia,70.4,74.3,0.95
Croatia,69.5,77.5,0.90
Cyprus,54.7,66.4,0.82
Ecuador,72.4,77.9,0.93
Estonia,38.6,55.3,0.70
France,44.0,55.0,0.80
Germany,30.5,53.5,0.57
Greece,48.8,58.8,0.83
Guatemala,75.0,83.0,0.90
Hungary,30.9,45.8,0.67
India,75.3,87.6,0.86
Iran,53.0,68.4,0.77
Israel,30.7,43.4,0.71
Italy,45.2,56.6,0.80
Jordan,67.4,78.1,0.86
Latvia,46.8,58.0,0.81
Lithuania,53.2,61.4,0.87
Luxembourg,42.1,57.9,0.73
Mexico,67.2,71.4,0.94
Morocco,61.3,75.1,0.82
Netherlands,39.9,52.2,0.76
Norway,42.1,66.9,0.63
Oman,74.1,71.6,1.03
Panama,74.2,79.0,0.94
Poland,45.2,50.9,0.89
Puerto Rico,67.2,75.8,0.89
Qatar,58.9,70.2,0.84
Romania,53.1,52.2,1.02
Saudi Arabia,88.9,92.3,0.96
Slovakia,45.4,56.1,0.81
Slovenia,52.3,72.7,0.72
South Africa,66.2,72.4,0.91
South Korea,46.1,63.2,0.73
Spain,47.6,58.7,0.81
Sweden,37.5,56.3,0.67
Switzerland,37.5,52.0,0.72
Thailand,72.3,81.0,0.89
United Kingdom,46.2,59.8,0.77
United States,43.0,54.6,0.79
Uruguay,65.4,74.6,0.88
Venezuela,81.7,86.5,0.94
Sample Average,54.4,65.2,0.83
Central and East Asia,64.4,76.0,0.85
Europe & UK,45.9,57.8,0.79
Latin America and Caribbean,70.9,77.8,0.91
Middle East and Africa,64.9,74.4,0.87
North America,45.4,58.1,0.78
High Income,50.1,61.7,0.81
Middle Income,69.2,76.0,0.91
Low Income,63.9,77.1,0.83
